订单号,手机号,省份,金额,状态,状态,是否推送,订单时间,接收时间,完成时间,推送时间
I1501192201494,18221569104,上海,300,2,充值成功,推送成功,2025-01-19 22:01:49,2025-01-19 22:50:44,2025-01-19 22:50:44,2025-01-19 22:50:47
I1501192201545,18221569104,上海,100,2,充值成功,推送成功,2025-01-19 22:01:54,2025-01-19 22:50:52,2025-01-19 22:50:52,2025-01-19 22:50:55
I1501192201596,18221569104,上海,500,2,充值成功,推送成功,2025-01-19 22:01:59,2025-01-19 22:51:00,2025-01-19 22:51:00,2025-01-19 22:51:04
I1501192202047,18221569104,上海,500,2,充值成功,推送成功,2025-01-19 22:02:04,2025-01-19 22:51:09,2025-01-19 22:51:09,2025-01-19 22:51:14
I1501192202098,18221569104,上海,100,2,充值成功,推送成功,2025-01-19 22:02:09,2025-01-19 22:51:19,2025-01-19 22:51:19,2025-01-19 22:51:23
I1501192202149,18221569104,上海,50,2,充值成功,推送成功,2025-01-19 22:02:14,2025-01-19 22:51:28,2025-01-19 22:51:28,2025-01-19 22:51:31
I15011922021910,18221569104,上海,300,2,充值成功,推送成功,2025-01-19 22:02:20,2025-01-19 22:51:36,2025-01-19 22:51:36,2025-01-19 22:51:41
I1501192203161,18221569104,上海,300,2,充值成功,推送成功,2025-01-19 22:03:16,2025-01-19 22:52:15,2025-01-19 22:52:15,2025-01-19 22:52:20
I1501192203212,18221569104,上海,100,2,充值成功,推送成功,2025-01-19 22:03:21,2025-01-19 22:52:25,2025-01-19 22:52:25,2025-01-19 22:52:29
I1501192203263,18221569104,上海,300,2,充值成功,推送成功,2025-01-19 22:03:26,2025-01-19 22:52:34,2025-01-19 22:52:34,2025-01-19 22:52:37
I1501192203314,18221569104,上海,500,2,充值成功,推送成功,2025-01-19 22:03:31,2025-01-19 22:52:42,2025-01-19 22:52:42,2025-01-19 22:52:47
I1501192203365,18221569104,上海,100,2,充值成功,推送成功,2025-01-19 22:03:36,2025-01-19 22:52:52,2025-01-19 22:52:52,2025-01-19 22:52:54
I1501192204141,18221569104,上海,100,2,充值成功,推送成功,2025-01-19 22:04:14,2025-01-19 22:52:59,2025-01-19 22:52:59,2025-01-19 22:53:02
I1501192204192,18221569104,上海,500,2,充值成功,推送成功,2025-01-19 22:04:19,2025-01-19 22:53:07,2025-01-19 22:53:07,2025-01-19 22:53:12
I1501192204243,18221569104,上海,300,2,充值成功,推送成功,2025-01-19 22:04:24,2025-01-19 22:53:17,2025-01-19 22:53:17,2025-01-19 22:53:21
I1501192204294,18221569104,上海,50,2,充值成功,推送成功,2025-01-19 22:04:29,2025-01-19 22:53:26,2025-01-19 22:53:26,2025-01-19 22:53:31
I1501192204345,18221569104,上海,500,2,充值成功,推送成功,2025-01-19 22:04:34,2025-01-19 22:53:36,2025-01-19 22:53:36,2025-01-19 22:53:39
I1501192205081,18221569104,上海,300,2,充值成功,推送成功,2025-01-19 22:05:08,2025-01-20 14:04:04,2025-01-20 14:04:04,2025-01-20 14:04:11
I1501192205182,18221569104,上海,500,2,充值成功,推送成功,2025-01-19 22:05:18,2025-01-20 14:04:16,2025-01-20 14:04:16,2025-01-20 14:04:21
I1501192205283,18221569104,上海,300,2,充值成功,推送成功,2025-01-19 22:05:28,2025-01-20 14:04:26,2025-01-20 14:04:26,2025-01-20 14:04:30
I1501192205374,18221569104,上海,100,2,充值成功,推送成功,2025-01-19 22:05:38,2025-01-20 14:04:35,2025-01-20 14:04:35,2025-01-20 14:04:40
I1501192242451,18221569104,上海,100,2,充值成功,推送成功,2025-01-19 22:42:45,2025-01-20 14:04:45,2025-01-20 14:04:45,2025-01-20 14:04:50
I1501192243552,18221569104,上海,100,2,充值成功,推送成功,2025-01-19 22:43:55,2025-01-20 14:04:56,2025-01-20 14:04:56,2025-01-20 14:04:58
I1501192244053,18221569104,上海,100,2,充值成功,推送成功,2025-01-19 22:44:05,2025-01-20 14:05:03,2025-01-20 14:05:03,2025-01-20 14:05:06
I1501192244144,18221569104,上海,50,2,充值成功,推送成功,2025-01-19 22:44:14,2025-01-20 14:05:11,2025-01-20 14:05:11,2025-01-20 14:05:16
I1501192244255,18221569104,上海,50,2,充值成功,推送成功,2025-01-19 22:44:25,2025-01-20 14:05:21,2025-01-20 14:05:21,2025-01-20 14:05:25
I1501192248571,18221569104,上海,500,2,充值成功,推送成功,2025-01-19 22:48:57,2025-01-20 14:05:30,2025-01-20 14:05:30,2025-01-20 14:05:35
I1501192249072,18221569104,上海,50,2,充值成功,推送成功,2025-01-19 22:49:07,2025-01-20 14:05:40,2025-01-20 14:05:40,2025-01-20 14:05:44
I1501192249173,18221569104,上海,50,2,充值成功,推送成功,2025-01-19 22:49:17,2025-01-20 14:05:50,2025-01-20 14:05:50,2025-01-20 14:05:52
I1501192249254,18221569104,上海,300,2,充值成功,推送成功,2025-01-19 22:49:25,2025-01-20 14:05:57,2025-01-20 14:05:57,2025-01-20 14:06:00
I1501192249335,18221569104,上海,300,2,充值成功,推送成功,2025-01-19 22:49:33,2025-01-20 14:06:05,2025-01-20 14:06:05,2025-01-20 14:06:08
I1501192249426,18221569104,上海,500,2,充值成功,推送成功,2025-01-19 22:49:42,2025-01-20 14:06:13,2025-01-20 14:06:13,2025-01-20 14:06:16
I1501192249507,18221569104,上海,50,0,充值失败,推送成功,2025-01-19 22:49:50,2025-01-20 23:45:04,2025-01-20 23:45:30,2025-01-20 23:45:31
I1501221416021,18221569104,上海,50,0,充值失败,推送成功,2025-01-22 14:16:02,2025-01-22 14:43:48,2025-01-22 14:43:56,2025-01-22 14:43:56
I1501221422054,18221569104,上海,50,0,充值失败,推送成功,2025-01-22 14:22:05,2025-01-22 14:44:19,2025-01-22 14:44:27,2025-01-22 14:44:27
I15012214444515,18221569104,上海,100,0,充值失败,推送成功,2025-01-22 14:44:45,2025-01-22 14:45:08,2025-01-22 14:45:17,2025-01-22 14:45:17
I15012214452818,18221569104,上海,50,0,充值失败,推送成功,2025-01-22 14:45:28,2025-01-22 14:45:51,2025-01-22 14:46:00,2025-01-22 14:46:00
I15012214521527,18221569104,上海,50,0,充值失败,推送成功,2025-01-22 14:52:15,2025-01-22 14:52:39,2025-01-22 14:52:47,2025-01-22 14:52:47
I1501221454071,18221569104,上海,500,0,充值失败,推送成功,2025-01-22 14:54:07,2025-01-22 14:54:30,2025-01-22 14:54:38,2025-01-22 14:54:39
I1501221454132,18221569104,上海,500,0,充值失败,推送成功,2025-01-22 14:54:13,2025-01-22 14:55:01,2025-01-22 14:55:09,2025-01-22 14:55:09
I1501221454443,18221569104,上海,500,0,充值失败,推送异常,2025-01-22 14:54:44,2025-01-22 14:55:32,2025-01-22 14:55:41,2025-01-22 14:55:43
I1501221506061,18221569104,上海,500,0,充值失败,推送成功,2025-01-22 15:06:06,2025-01-22 15:11:59,2025-01-22 15:12:07,2025-01-22 15:12:07
I1501221512133,18221569104,上海,300,0,充值失败,推送成功,2025-01-22 15:12:13,2025-01-22 15:15:24,2025-01-22 15:15:33,2025-01-22 15:15:33
I1501221515154,18221569104,上海,500,0,充值失败,推送成功,2025-01-22 15:15:15,2025-01-22 15:15:48,2025-01-22 15:15:57,2025-01-22 15:15:57
I1501221515395,18221569104,上海,50,0,充值失败,推送成功,2025-01-22 15:15:39,2025-01-22 15:16:12,2025-01-22 15:16:21,2025-01-22 15:16:21
I1501221516036,18221569104,上海,50,0,充值失败,推送成功,2025-01-22 15:16:03,2025-01-22 15:16:35,2025-01-22 15:16:43,2025-01-22 15:16:43
I1501221516277,18221569104,上海,300,0,充值失败,推送成功,2025-01-22 15:16:27,2025-01-22 15:16:58,2025-01-22 15:17:06,2025-01-22 15:17:06
